# Caveat: I don't yet have a way to store multiple traditional characters or
# pronunciations in a single note, so the below is moot.
#
# General comment: when looking at duplicates, think about:
#   1. Do the different entries have very different definitions? If so, is one
#      definition significantly more obscure, or only used as part of a larger
#      word? 
#   2. Do the different entries have different pronunciations? If so, do they
#      vary on tone only, or are the consonants/vowels different too?
#   3. Is it a case where multiple traditional characters were mapped to a
#      single simplified character?
#
# In general, we want to only include the most common meaning of the word
# (the HSK list actually includes words with two important senses twice).
# An exception is that if a word has multiple commonly used traditional
# versions, we should include all of them in the same note. Cases where there
# are multiple similar pronunciations for a character may also be included in
# a single note.
# TODO: there are a few words that are repeated, fix these
的,de5,
东西,dong1 xi5,
都,dou1,
读,du2,
# TODO: fix the below entry
多少,duo1 shao5,
好,hao3,
号,hao4,
喝,he1,
和,he2,和
回,hui2,回
会,hui4,
几,ji3,
看,kan4,
了,le5,
里,li3,裡
吗,ma5,
哪,na3,
那,na4,
呢,ne5,
年,nian2,年
少,shao3,
说,shuo1,
听,ting1,
喂,wei2,
吧,ba5,
比,bi3,
别,bie2,
长,chang2
从,cong2
得,de5
给,gei3
还,hai2
好吃,hao3 chi1
累,lei4
离,li2,離
女,nu:3
便宜,pian2 yi5
妻子,qi1 zi5
千,qian1,千
药,yao4,藥
要,yao4
远,yuan3
着,zhe5
啊,a5
把,ba3
差,cha4
地,de5
地方,di4 fang5
冬,dong1,冬
发,fa1
分,fen1
# TODO: update CCEDICT entry for 剛纔
刚才,gang1 cai2,剛才
更,geng4
故事,gu4 shi5
还,hai2
教,jiao1
角,jiao3
# TODO: update CCEDICT entry for 瞭解
了解,liao3 jie3,了解
难,nan2
胖,pang4
骑,qi2
# TODO: is CCEDICT entry correct? Both neutral tones?
起来,qi5 lai5
秋,qiu1,秋
伞,san3,傘
腿,tui3,腿
为,wei4,為
向,xiang4,向
长,chang2
只,zhi3,只
只,zhi3,只
种,zhong3
场,chang3,場
大夫,dai4 fu5
当,dang1,當
倒,dao4
得,de5
底,di3
干,gan4
汗,han4
# TODO: which meaning of 假 do we want?
假,jia3
结果,jie2 guo3
# TODO: do we want both pronunciations?
空,kong4
困,kun4,困
弄,nong4,弄
生意,sheng1 yi5
省,sheng3
台,tai2,臺
汤,tang1
趟,tang4
咸,xian2,鹹
行,xing2
与,yu3
云,yun2,雲
脏,zang1,髒
重,zhong4
重点,zhong4 dian3
# TODO: which meaning of 转 do we want? / Do we want both?
转,zhuan4
赚,zhuan4
唉,ai1
# TODO: not sure this is correct, might not matter
暗,an4,暗
# TODO: not sure this is correct
薄,bao2
背,bei1,背
# TODO: might be good to have both pronunciations
便,bian4
朝,chao2
称,cheng1
# TODO: might be good to have both traditional characters
冲,chong1,衝
丑,chou3,醜
臭,chou4
# TODO: not sure this is correct
大方,da4 fang5
挡,dang3
地道,di4 dao5
哈,ha1
# TODO: do we want both meanings?
划,hua2,劃
结实,jie1 shi5
尽快,jin3 kuai4,盡快
尽量,jin3 liang4
精神,jing1 shen2
克,ke4,克
厘米,li2 mi3,厘米
# TODO: not sure which meaning, probably doesn't matter
嗯,en5
匹,pi3,匹
片,pian4
签,qian1,簽
浅,qian3
切,qie1
圈,quan1
数,shu3
土地,tu3 di4
吐,tu3
# TODO: do we want both meanings?
团,tuan2,團
尾巴,wei3 ba5
# TODO: do we want all the meanings?
系,xi4,係
吓,xia4
乙,yi3
# TODO: do we want both pronunciations?
晕,yun1
# TODO: multiple tones
占,zhan4
# TODO: multiple tones
涨,zhang3
正,zheng4
追,zhui1
# TODO: multiple tones
熬,ao2
# TODO: multiple tones
挨,ai2
扒,ba1
本事,ben3 shi5
扁,bian3
乘,cheng2
盛,cheng2
澄清,cheng2 qing1
# TODO: not sure which pronunciation
出息,chu1 xi5
刺,ci4
大意,da4 yi4
# TODO: probably want both pronunciations
得罪,de2 zui4
# TODO: probably want both traditional characters
吊,diao4,吊
# TODO: probably want both pronunciations
恶心,e3 xin1,惡心
# TODO: 發佈 wins the Google search popularity contest by a hair, but 發布 is used
#   by government sites (and is simpler), so I chose the latter
发布,fa1 bu4,發布
分量,fen4 liang5
# TODO: do we want both pronunciations?
搁,ge1
# TODO: do we want both pronunciations?
跟前,gen1 qian2
# TODO: do we want both pronunciations?
公道,gong1 dao4
# TODO: do we want both meanings?
横,heng2
# TODO: do we want both meanings?
哄,hong3
# TODO: do we want the other pronunciation?
晃,huang3,晃
# TODO: not sure which traditional characters we want
汇报,hui4 bao4,匯報
# TODO: probably want to include juan4
卷,juan3,卷
扛,gang1
口音,kou3 yin5
# TODO: probably want both traditional characters
扣,kou4,扣
款式,kuan3 shi4
啦,la5
# TODO: do we want both meanings?
利害,li4 hai5
# TODO: probably want both meanings
淋,lin2
搂,lou3
眯,mi1
# TODO: do we want all pronunciations?
拧,ning2
# TODO: probably want all pronunciations
哦,o4
劈,pi1
# TODO: not sure which pronunciation we want
撇,pie1
铺,pu4,鋪
# TODO: maybe want both pronunciations
翘,qiao4
人家,ren2 jia5
拾,shi2
苏醒,su1 xing3,甦醒
台风,tai2 feng1,颱風
哇,wa5
喂,wei2
温和,wen1 he2
削,xue1
# TODO: again, we're going with 了 instead of 瞭 here
一目了然,yi1 mu4 liao3 ran2,一目了然
# TODO: probably want both meanings
熨,yun4
咋,za3
攒,zan3
扎,zha1
折,zhe2
正当,zheng4 dang1
周转,zhou1 zhuan3,周轉
拽,zhuai4
幢,zhuang4
琢磨,zhuo2 mo2
